City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Month,Year,DayOfWeek,Season,Is_Winter,City_Encoded,AQI_Bucket_Encoded
Bengaluru,2015-03-21,48.59,77.485,3.47,27.0,18.04,28.02,3.89,1.94,52.96,21.33,196.72,0.65,91.0,Satisfactory,3,2015,5,1,0,0,1
Bengaluru,2015-03-22,47.38,77.485,2.84,22.39,15.33,23.19,11.29,2.05,71.85,14.97,138.2,0.65,120.0,Moderate,3,2015,6,1,0,0,2
Bengaluru,2015-03-23,65.65,77.485,3.1,26.35,17.45,27.76,9.95,6.3,72.84,9.88,100.77,0.65,154.0,Moderate,3,2015,0,1,0,0,2
Bengaluru,2015-03-24,60.47,77.485,5.39,29.87,20.88,35.1,1.46,6.07,64.12,5.9,61.48,0.65,119.0,Moderate,3,2015,1,1,0,0,2
Bengaluru,2015-03-25,62.56,77.485,3.16,23.57,16.39,27.13,10.05,4.98,82.34,4.53,39.99,0.65,232.0,Poor,3,2015,2,1,0,0,3
Bengaluru,2015-03-26,60.73,77.485,4.16,32.07,21.03,34.71,1.44,1.67,67.21,1.36,13.28,0.65,132.0,Moderate,3,2015,3,1,0,0,2
Bengaluru,2015-03-27,42.1,77.485,4.01,25.55,17.37,30.96,2.85,2.46,51.93,0.14,3.71,0.65,123.0,Moderate,3,2015,4,1,0,0,2
Bengaluru,2015-03-28,40.0,77.485,2.93,17.99,11.36,28.74,8.07,2.5,44.65,0.14,8.39,0.65,152.0,Moderate,3,2015,5,1,0,0,2
Bengaluru,2015-03-29,32.16,77.485,2.38,12.9,8.3,21.5,8.53,2.08,56.31,0.15,8.53,0.65,143.0,Moderate,3,2015,6,1,0,0,2
Bengaluru,2015-03-30,30.78,77.485,2.68,16.23,14.63,26.96,1.46,2.63,49.52,0.14,2.07,0.65,80.0,Satisfactory,3,2015,0,1,0,0,1
Bengaluru,2015-03-31,38.99,77.485,2.6,10.97,12.7,27.52,1.79,2.79,47.67,0.14,2.39,0.65,90.0,Satisfactory,3,2015,1,1,0,0,1
Bengaluru,2015-04-01,36.42,77.485,2.68,8.83,9.13,31.37,9.6,3.17,48.25,0.14,8.16,0.65,151.0,Moderate,4,2015,2,1,0,0,2
Bengaluru,2015-04-02,38.15,77.485,4.24,10.29,9.99,43.09,4.06,7.65,53.26,0.14,5.29,0.65,123.0,Moderate,4,2015,3,1,0,0,2
Bengaluru,2015-04-03,35.11,77.485,2.63,5.99,6.82,26.04,5.34,2.32,57.75,0.14,7.4,0.65,178.0,Moderate,4,2015,4,1,0,0,2
Bengaluru,2015-04-04,36.68,77.485,3.63,12.89,10.88,40.71,1.47,3.29,76.36,0.13,1.61,0.65,101.0,Moderate,4,2015,5,1,0,0,2
Bengaluru,2015-04-05,36.92,77.485,2.2,9.0,7.6,26.22,9.58,4.07,65.62,0.14,12.02,0.65,160.0,Moderate,4,2015,6,1,0,0,2
Bengaluru,2015-04-06,31.78,77.485,2.48,8.14,8.06,22.34,0.55,7.22,54.31,0.18,0.28,0.65,71.0,Satisfactory,4,2015,0,1,0,0,1
Bengaluru,2015-04-07,37.25,77.485,2.86,7.14,11.25,17.78,2.3,5.88,60.42,0.2,2.3,0.65,76.0,Satisfactory,4,2015,1,1,0,0,1
Bengaluru,2015-04-08,29.8,77.485,2.59,9.04,7.52,24.2,6.84,1.84,49.55,0.12,20.68,0.65,153.0,Moderate,4,2015,2,1,0,0,2
Bengaluru,2015-04-09,25.06,77.485,3.21,8.72,7.2,29.83,5.82,2.6,42.63,0.13,5.92,0.65,80.0,Satisfactory,4,2015,3,1,0,0,1
Bengaluru,2015-04-10,24.4,77.485,6.87,7.46,8.7,23.17,5.19,2.03,44.47,8.64,8.48,0.65,129.0,Moderate,4,2015,4,1,0,0,2
Bengaluru,2015-04-11,32.08,77.485,6.6,7.09,8.82,30.95,1.7,3.22,53.91,0.29,1.75,0.65,107.0,Moderate,4,2015,5,1,0,0,2
Bengaluru,2015-04-12,19.72,77.485,1.81,4.97,5.51,34.85,2.65,5.16,44.53,0.17,2.65,0.65,122.0,Moderate,4,2015,6,1,0,0,2
Bengaluru,2015-04-13,17.03,77.485,2.17,8.53,9.95,34.3,2.23,2.75,39.03,0.795,2.62,0.65,85.0,Satisfactory,4,2015,0,1,0,0,1
